stop_id	stop_name
33428	Cashmere Rd - Francis Res
12987	Papanui Rd near Heaton St
40190	Bower Ave near Dick Taylor Dr
36482	Soleares Ave near Mt Pleasant Rd
47137	Lincoln Rd near Hazeldean 
11186	Kerrs Rd
40980	Wairakei Rd near Kendal Ave
40502	Milton St near Strickland 
24015	Barbadoes St near Bealey Ave
41831	Brittan Tce near Voelas Rd
26672	Gloucester St near Stanmore Rd
36005	Major Hornbrook Rd near Billys Trk
23165	Princess Margaret Hospital
12034	Main North Rd near Richill St
39515	Shirley Rd near Quinns 
51644	Inwoods Rd near Jade Pl
53821	Doyleston
38669	Idris Rd near Fendalton 
15548	Ferry Rd near Oak St
14216	Bealey Ave
11193	Lyttelton St near Rose 
15553	Ferry Rd near Charlesworth St
13375	Clyde Rd near Fendalton 
38653	Straven Rd near Rochdale St
23177	Hackthorne Rd near Stambridge Pl
26686	Estuary Rd near Halsey St
24027	Middlepark Rd near Epsom 
40979	Highsted Rd near Glenmore Ave
26209	Rocking Horse Rd near Petrel Ln
28869	Main Rd near Te Awakura Tce
50322	Ellesmere Junction Rd near Leeston 
39504	Shirley Rd near Quinns 
12047	Main North Rd near Donegal St
53832	Doyleston
19910	Veitches Rd near Cavendish 
51659	Inwoods Rd near Jade Pl
11164	Eastgate Mall (Buckleys Rd)
12010	N Avon Rd near Petrie St
40967	Ferry Rd near Settlers Cres
